"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"111",300,0.651418682292162,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"112",300,0.645794000500178,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"113",300,0.323733599722552,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"114",300,0.336090143745887,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"115",300,0.671547005099355,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"116",300,0.678385604704934,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"117",300,0.751631323241818,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"118",300,0.769109145263822,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"119",300,0.77263352891216,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"120",300,0.381664064046663,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"121",300,0.517709471609711,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"122",300,0.61190378646457,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"123",300,0.661535700213968,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"124",300,0.746460363330606,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"125",300,0.741965502647803,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"126",300,0.747891837598463,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"127",300,0.466549738924898,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"128",300,0.515012307144204,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"129",300,0.62156568332413,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"130",300,0.653137750866746,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"131",300,0.643411086490951,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"132",300,0.653471391487458,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"133",300,0.659088703797793,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"134",300,0.488801837860761,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"135",300,0.492451806330315,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"136",300,0.602388763035971,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"137",300,0.650034193855118,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"138",300,0.63807298217231,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"139",300,0.700768995872603,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"140",300,0.68202431967418,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"141",1000,0.384703577549349,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"142",1000,0.394800574529689,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"143",1000,0.673611280230459,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"144",1000,0.680856240344989,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"145",1000,0.736455393543334,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"146",1000,0.730378991601678,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"147",1000,0.729531411695282,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"148",1000,0.405010451047716,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"149",1000,0.409132991147062,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"150",1000,0.665362752360611,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"151",1000,0.661342454701275,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"152",1000,0.703300111549034,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"153",1000,0.693364942477639,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"154",1000,0.696130221768114,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"155",1000,0.44129109048436,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"156",1000,0.452925340723966,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"157",1000,0.624505197270405,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"158",1000,0.630172188010783,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"159",1000,0.655082253858009,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"160",1000,0.675374424478505,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"161",1000,0.675463183888469,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"162",1000,0.418688018478562,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"163",1000,0.440976156739667,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"164",1000,0.645460281740012,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"165",1000,0.669263131930922,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"166",1000,0.681987929554753,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"167",1000,0.729563982032985,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"168",1000,0.729901851399781,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"169",1000,0.373003739007247,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"170",1000,0.400963190206712,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"171",1000,0.662145258574198,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"172",1000,0.696855722649675,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"173",1000,0.730277035241264,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"174",1000,0.761381461545763,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"175",1000,0.763408563721372,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"176",1000,0.401758757005466,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"177",1000,0.403099124359869,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"178",1000,0.715218842638757,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"179",1000,0.717980725031607,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"180",1000,0.783934276546478,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"181",1000,0.766428755928488,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"182",1000,0.765177855491221,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"183",1000,0.458819226778029,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"184",1000,0.456565004285751,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"185",1000,0.679401688267978,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"186",1000,0.684715982988838,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"187",1000,0.740371616899507,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"188",1000,0.738766961302723,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"189",1000,0.73356370967199,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"190",1000,0.405590420215615,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"191",1000,0.437256364637479,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"192",1000,0.651864809646181,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"193",1000,0.678163212174118,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"194",1000,0.731554706491501,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"195",1000,0.748127865259727,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"196",1000,0.746978404372716,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"197",1000,0.303182427203389,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"198",1000,0.271127648043041,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"199",1000,0.710555187417839,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"200",1000,0.691873119733146,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"201",1000,0.741817893302571,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"202",1000,0.777517948036338,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"203",1000,0.770159982858568,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"204",1000,0.522468098502548,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"205",1000,0.512220741123039,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"206",1000,0.700792069369573,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"207",1000,0.683229285128411,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"208",1000,0.776424011152965,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"209",1000,0.745755030284186,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"210",1000,0.760358177113792,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
