"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"71",300,0.204195604815583,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"72",300,0.210446970360864,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"73",300,0.11813894094083,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"74",300,0.13176344610543,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"75",300,0.177672943157094,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"76",300,0.181054939896145,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"77",300,0.177955247639117,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"78",300,-0.130989324300847,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"79",300,-0.0800754766542216,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"80",300,-0.28967773322738,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"81",300,-0.2361269539294,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"82",300,-0.206781325927534,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"83",300,-0.157670174892552,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"84",300,-0.154287802936553,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"85",300,0.0122502812885476,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"86",300,0.00820084676201861,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"87",300,-0.00318289549846068,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"88",300,0.00754728465575294,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"89",300,0.0487166590393886,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"90",300,0.0611658353351288,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"91",300,0.068676362965424,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"92",300,0.180858272048727,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"93",300,0.185824344605459,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"94",300,0.163530881856756,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"95",300,0.150666094918105,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"96",300,0.254216618100208,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"97",300,0.266763879520976,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"98",300,0.240273676152452,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"99",300,0.0712565510087982,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"100",300,0.0641626216574744,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"101",300,-0.0195569447562093,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"102",300,-0.0344886980118188,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"103",300,0.0681648219783865,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"104",300,0.0685332457544439,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"105",300,0.0510546148711078,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"106",300,-0.0109604472324765,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"107",300,-0.0334240223846402,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"108",300,-0.0825345041598668,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"109",300,-0.0972975338538618,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"110",300,-0.0450300277491908,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"111",300,-0.0721680486041725,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"112",300,-0.0652567761972118,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"113",300,0.059344194191256,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"114",300,0.0910881078118004,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"115",300,-0.0508495573599758,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"116",300,-0.0357169245787385,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"117",300,0.0534571873501082,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"118",300,0.0608060026950902,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"119",300,0.0654866776663103,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"120",300,0.0669130720609876,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"121",300,0.0352601001768521,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"122",300,0.053882461659016,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"123",300,0.0228423317851487,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"124",300,0.0682977766475926,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"125",300,0.0341831497340414,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"126",300,0.0396655504601021,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"127",300,0.284909679776087,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"128",300,0.315664834745742,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"129",300,0.234613486012358,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"130",300,0.270895813341279,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"131",300,0.286154924995291,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"132",300,0.318525357106826,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"133",300,0.324752731055474,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"134",300,0.125021415329147,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"135",300,0.148850873428572,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"136",300,0.114305773223282,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"137",300,0.1413682405654,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"138",300,0.191760077073532,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"139",300,0.206455042154169,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"140",300,0.212309797969237,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"141",1000,0.0901947398226802,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"142",1000,0.0913463505850856,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"143",1000,0.065666941183363,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"144",1000,0.0720913950966856,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"145",1000,0.101602100666658,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"146",1000,0.10816308982368,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"147",1000,0.107608393306025,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"148",1000,0.0898820431610699,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"149",1000,0.0832845699733216,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"150",1000,0.0457133407479941,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"151",1000,0.0441427535478916,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"152",1000,0.109481354207394,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"153",1000,0.112751634533822,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"154",1000,0.11018930419049,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"155",1000,0.156318768074448,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
