"","sample.size","estimate","estimator","subset","simulation","independence","nuisance"
"287","500",-0.426000329741374,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"288","500",0.79285137052737,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"289","500",85.3375639578991,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"290","500",2.84871390727315,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"291","500",4.59084731609569,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"292","500",-3.36129821868528,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"293","500",-2.3037809416209,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"294","500",-1.78075466432659,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"295","500",-2.77728986436908,"ipw","smart","linear.constant.cate",TRUE,"linear"
"296","500",2.84871390727315,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"297","500",2.77282279540803,"aipw","smart","linear.constant.cate",TRUE,"linear"
"298","500",NA,"ipw","smart","linear.constant.cate",TRUE,"forest"
"299","500",-2.2628158661749,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"300","500",NA,"aipw","smart","linear.constant.cate",TRUE,"forest"
"301","500",-2.77728986436908,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"302","500",1.90497601923194,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"303","500",2.15909707741772,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"304","500",-5.44260436922866,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"305","500",-1.49599698060196,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"306","500",-0.93003196459684,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"307","500",331.377188722133,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"308","500",3.01904065038584,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"309","500",-3.50530499628735,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"310","500",-6.83507632594103,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"311","500",-2.88289990943266,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"312","500",-2.49269813615232,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"313","500",-1.7389732395936,"ipw","smart","linear.constant.cate",TRUE,"linear"
"314","500",3.01904065038584,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"315","500",2.82401220207633,"aipw","smart","linear.constant.cate",TRUE,"linear"
"316","500",-9.59537672036573,"ipw","smart","linear.constant.cate",TRUE,"forest"
"317","500",-2.81564065029888,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"318","500",-2.12829500371657,"aipw","smart","linear.constant.cate",TRUE,"forest"
"319","500",-1.7389732395936,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"320","500",2.86294170748758,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"321","500",3.14167178921781,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"322","500",-9.36452692240794,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"323","500",-2.08511242915022,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"324","500",-1.47818910451819,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"325","500",87628.1212252652,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"326","500",3.39850608119037,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"327","500",3069.73193192724,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"328","500",-3.15987736368773,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"329","500",-1.55185663882523,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"330","500",-0.898174648897935,"aipw","outcome","linear.constant.cate",TRUE,"forest"
